data/sched-exam-table-33/graph-coloring-solution-61-1-deg-bfs.txt
,0,7,1567,1151,1387,594,4660,9366
,0,70000,122226,89778,52706,17226,55920,407856
data/sched-exam-table-33/graph-coloring-solution-61-1-deg.txt
,2,0,1486,392,739,544,4610,7773
,1363.0,0,115908,30576,28082,15776,55320,247025.0
data/sched-exam-table-33/graph-coloring-solution-61-1-std-bfs.txt
,1,0,1900,797,499,269,5023,8489
,2,0,148200,62166,18962,7801,60276,297407
data/sched-exam-table-33/graph-coloring-solution-61-1-std.txt
,1,0,1267,462,527,274,4580,7111
,541.0,0,98826,36036,20026,7946,54960,218335.0
data/sched-exam-table-33/graph-coloring-solution-61-2-deg-bfs.txt
,1,0,3361,1223,2317,1175,5159,13236
,2,0,262158,95394,88046,34075,61908,541583
data/sched-exam-table-33/graph-coloring-solution-61-2-deg.txt
,0,0,2875,1319,1546,774,5120,11634
,0,0,224250,102882,58748,22446,61440,469766
data/sched-exam-table-33/graph-coloring-solution-61-2-std-bfs.txt
,1,8,2837,1705,862,969,5560,11942
,11808635.0,80000,221286,132990,32756,28101,66720,12370488.0
data/sched-exam-table-33/graph-coloring-solution-61-2-std.txt
,1,4,2562,1096,828,520,5109,10120
,2467.0,40000,199836,85488,31464,15080,61308,435643.0
data/sched-exam-table-33/graph-coloring-solution-62-1-deg-bfs.txt
,0,0,3707,1286,3717,1911,9393,20014
,0,0,289146,100308,141246,55419,112716,698835
data/sched-exam-table-33/graph-coloring-solution-62-1-deg.txt
,1,0,3423,805,1168,719,7017,13133
,15169.0,0,266994,62790,44384,20851,84204,494392.0
data/sched-exam-table-33/graph-coloring-solution-62-1-std-bfs.txt
,1,0,3261,1275,853,604,8338,14332
,2,0,254358,99450,32414,17516,100056,503796
data/sched-exam-table-33/graph-coloring-solution-62-1-std.txt
,2,5,2752,1270,1130,821,10692,16672
,3589.0,50000,214656,99060,42940,23809,128304,562358.0
data/sched-exam-table-33/graph-coloring-solution-62-2-deg-bfs.txt
,1,149,4350,2334,2942,2136,8759,20671
,5064.0,1490000,339300,182052,111796,61944,105108,2295264.0
data/sched-exam-table-33/graph-coloring-solution-62-2-deg.txt
,1,0,4603,1680,1593,1057,9107,18041
,6143.0,0,359034,131040,60534,30653,109284,696688.0
data/sched-exam-table-33/graph-coloring-solution-62-2-std-bfs.txt
,1,1,3510,1802,1093,904,7822,15133
,1321733.0,10000,273780,140556,41534,26216,93864,1907683.0
data/sched-exam-table-33/graph-coloring-solution-62-2-std.txt
,1,7,3529,1747,751,788,7574,14397
,16411.0,70000,275262,136266,28538,22852,90888,640217.0
data/sched-exam-table-33/graph-coloring-solution-63-1-deg-bfs.txt
,2,1,4542,2696,2132,1951,11536,22860
,39656.0,10000,354276,210288,81016,56579,138432,890247.0
data/sched-exam-table-33/graph-coloring-solution-63-1-deg.txt
,1,1,4676,2917,1984,1903,10809,22291
,21235.0,10000,364728,227526,75392,55187,129708,883776.0
data/sched-exam-table-33/graph-coloring-solution-63-1-std-bfs.txt
,3,12,4789,2779,1610,1311,12519,23023
,38470.0,120000,373542,216762,61180,38019,150228,998201.0
data/sched-exam-table-33/graph-coloring-solution-63-1-std.txt
,3,16,4355,1886,1903,1033,10011,19207
,41840.0,160000,339690,147108,72314,29957,120132,911041.0
data/sched-exam-table-33/graph-coloring-solution-63-2-deg-bfs.txt
,1,19,6991,2506,1949,1449,13498,26413
,4,190000,545298,195468,74062,42021,161976,1208829
data/sched-exam-table-33/graph-coloring-solution-63-2-deg.txt
,2,1,5077,2720,2704,1770,13581,25855
,5390.0,10000,396006,212160,102752,51330,162972,940610.0
data/sched-exam-table-33/graph-coloring-solution-63-2-std-bfs.txt
,1,9,5120,2881,1756,1052,12969,23788
,16654.0,90000,399360,224718,66728,30508,155628,983596.0
data/sched-exam-table-33/graph-coloring-solution-63-2-std.txt
,1,10,4339,2405,1237,1089,11221,20302
,2272.0,100000,338442,187590,47006,31581,134652,841543.0
