018301,801100,1
357101,571113,2
177427,177485,1
011369,357101,2
026101,255300,1
463556,463581,5
328313,513363,2
513315,513340,3
323331,513328,2
951323,951331,25
254436,356101,1
202231,353497,1
057213,203209,1
461471,461472,1
514442,514453,7
514453,514475,8
551491,551492,2
551492,557433,2
557433,561491,2
603441,603495,3
064424,400110,1
177468,179402,1
179402,179403,5
126334,126338,1
004499,017210,1
001212,001354,2
057133,751100,6
100308,100498,24
057420,057426,16
114425,176100,2
208272,602100,1
209461,209463,13
207106,251363,1
254325,510100,2
261434,269462,3
176100,254325,1
207106,255438,1
602100,851100,1
207106,255499,1
252421,356101,1
252455,356101,1
307401,310401,1
310401,314401,1
676700,676701,2
057305,208263,2
057135,211319,5
013110,211315,1
464543,464582,2
464541,464544,2
463504,463558,2
463558,464542,2
463402,464413,5
463311,464443,1
463491,464401,5
463455,464445,1
464445,464491,2
503402,505402,11
505402,507402,11
507402,509402,11
509402,512402,11
508207,510417,4
510417,510418,13
514425,514466,1
301233,321232,8
513224,513283,2
305202,552222,2
551492,554493,1
554493,554494,1
554494,557433,1
552291,554392,3
554392,561312,2
211317,601453,2
601452,705211,2
208272,751303,10
206172,751407,15
021203,801382,1
751305,751330,21
177426,177463,7
140104,177330,1
177430,179403,6
177426,356102,1
177464,177465,2
177401,177448,1
177468,177481,1
177414,177448,3
177405,515101,1
057130,103271,3
002489,008314,1
001291,020101,2
011353,011486,1
004309,013207,4
011486,014304,1
013207,013313,1
019442,357101,2
001318,021101,1
008417,357110,1
001230,751100,4
017101,057127,2
100498,206100,1
100308,206100,1
176220,705444,2
001250,176100,1
127312,201114,5
064418,100501,6
100489,103271,1
059413,061307,3
059413,061224,5
061224,061307,2
057305,057428,1
052357,100501,1
061306,105336,1
061106,104437,1
112201,112405,1
112301,112314,8
112405,112413,5
071419,160341,1
152313,152343,2
203337,209461,3
203477,356100,3
203337,211317,34
203323,203332,34
203308,203327,33
202438,202443,5
202103,210425,1
057126,057136,3
214414,214415,25
065310,206281,2
255460,259192,3
259192,356102,3
255462,259192,4
255471,255492,2
252283,255330,5
057305,255359,1
255432,259201,2
206362,254441,2
254302,703103,2
254471,610114,2
013110,254441,4
254372,751100,1
013110,206362,1
261343,610114,3
103271,269462,2
206261,751100,1
203167,255437,1
252325,252327,2
254459,254461,2
050106,368487,1
211319,356102,2
127100,211319,2
201115,211319,1
206181,359311,1
406385,406395,3
311352,318351,3
320351,403382,2
463311,464341,4
463331,463353,3
061306,463455,2
321242,463353,1
206107,320342,1
463353,464401,1
502311,510417,2
510415,512312,4
510411,510417,7
502211,510415,5
504302,506303,6
501301,501302,7
515334,515364,5
301233,303232,23
514381,514383,3
514397,514453,1
514211,514261,5
561312,561391,1
552291,555393,3
555393,556391,1
556391,561312,1
557433,561312,1
561312,561491,1
551491,557433,1
321224,552216,3
554392,555393,1
555393,555394,2
555394,556391,1
556391,561391,1
357101,601453,1
018111,601462,1
601453,604313,8
203209,601453,2
211319,605446,2
651311,651312,2
705492,705499,31
057132,705411,1
357101,701455,1
356101,703404,1
705444,751405,1
751401,751421,7
001210,751301,1
610114,751330,1
208383,851411,1
128100,801471,1
803331,803401,1
013207,851462,4
061306,851411,1
001311,201100,1
851360,851411,11
013305,851411,1
019206,851411,1
001310,851404,5
013207,851375,2
013317,851411,1
019206,126326,1
177426,357101,1
177362,177404,8
177393,177446,2
177465,177481,5
177215,177404,2
177430,177481,1
177430,177465,1
951352,951451,6
951353,951451,9
951353,951354,6
951212,951345,29
954449,954471,2
954491,954491,13
954491,954492,1
954449,954491,4
954464,954498,1
206171,851100,9
953420,953421,8
953321,953361,1
676705,676714,1
676714,676716,1
001353,018113,3
001315,851305,1
001318,202101,1
006324,006425,12
014323,014401,3
013307,018113,1
001310,019211,1
006432,705437,1
008303,008324,8
008214,008422,1
008322,019303,2
057293,057410,17
100314,176100,1
052420,140104,1
064430,100222,1
061106,101103,1
107333,117415,1
013207,105304,1
106125,106321,7
106231,106321,4
106321,205105,2
106124,462130,2
106125,106231,1
061306,114327,1
061223,114313,1
114345,114416,13
114313,114343,13
114334,114345,7
011100,018111,1
057132,057133,5
159231,159305,11
203207,203288,48
203288,211317,3
203337,209361,3
006203,203308,1
203327,357101,1
203308,356102,1
203327,356102,1
057213,203308,1
203288,209361,2
215411,215495,5
214341,214430,5
211319,357101,1
001210,211315,2
204101,208263,2
050100,610114,4
203327,211319,1
013207,208343,1
203115,208343,1
252302,259109,1
206261,254372,3
256271,256281,2
207115,703103,1
206162,252286,36
176100,255251,1
009103,255321,1
314893,314898,1
140104,354311,6
211319,353312,4
356312,356361,1
140104,359301,2
365421,365428,4
203209,352332,1
057136,206108,1
401382,415383,2
421385,421395,2
403382,423382,2
411281,420281,2
301254,321251,2
321251,403382,1
401857,401884,1
401884,408704,1
303210,510201,59
206101,504302,1
515201,515334,1
514335,514343,2
514341,514397,2
514317,514323,2
555394,561312,1
555393,561312,1
211317,601345,35
203209,203229,108
211317,357101,4
357101,601345,3
203229,211317,1
211319,602317,15
602317,604305,13
201100,602321,1
203229,356102,5
510100,701281,5
357101,701331,2
356102,703305,2
357101,703305,1
356102,701331,1
703702,703747,1
705311,751407,10
204101,751408,5
206172,705311,2
018111,751407,1
206100,751308,3
206172,751106,1
751408,851400,2
019105,751408,1
126101,751309,1
019105,204101,1
050100,751305,1
001291,751451,2
206171,208272,2
804331,804332,3
851212,851360,7
851262,851305,2
019106,208101,1
026102,201114,2
705444,851306,2
021203,851212,1
126215,951100,4
026101,126215,10
127314,357101,1
177281,177330,25
177465,179403,4
177481,179403,5
177481,179402,2
177481,703330,1
177330,356101,1
177362,357110,2
177281,356101,2
951344,951348,26
951352,951354,9
951124,951344,1
954471,954491,1
011151,953322,1
001230,057133,1
003191,018111,2
001212,050103,1
057126,851305,2
101201,176101,1
013207,014270,1
008213,019221,2
029703,029790,1
011768,011770,1
055713,055734,1
001210,154104,2
105203,106121,8
105203,105337,1
112101,114332,16
112201,112423,1
159203,208270,48
030101,152301,1
009103,206111,1
074100,206111,2
203207,203229,1
203229,203288,1
050100,203206,1
154104,207213,1
203209,361214,2
202791,202873,1
206736,206789,1
217775,217781,1
215788,215792,1
