BB1100,60
BB1201,4
BB1210,20
BB1213,13
BB1214,25
BB1215,38
BB1303,36
BB1308,11
BB1309,29
BB1310,38
BB1101,59
BB1301,33
BB2106,21
BB2203,7
BB2207,10
CB1113,50
CB1310,45
CB1313,30
CB1314,25
CB2440,50
CSB100,79
CSB201,25
CSB202,18
CSB207,36
CSB209,89
CSB210,49
CSB303,35
CSB308,13
GB100,46
GB110,11
GB200,19
GB202,27
IMB2202,5
IMB4401,29
IMB4403,31
IMB4406,84
IMB4408,13
IMB4410,1
IMB4416,10
IMB4418,29
MB2111,70
MB2212,20
MB2213-2214,70
PB1230,40
PB1330,40
PB2100,61
PB2103,11
PB2104,16
PB2105,15
PB2106,16
PB2205,32
PB2210,9
PB2211,9
PB2212,9
SCB1100,90
SCB1302,43
SCB1304,44
SCB1312,42
SCB1314,42
SCB1402,42
SCB1404,44
SCB1412,42
SCB1414,43
SCB1502,33
SCB1504,32
SCB1512,32
SCB1514,32
SCB1602,33
SCB1604,33
SCB1614,33
SCB1718,6
SCB1719,20
SCB1721,3
SCB2100,61
SCB2401,2
SCB2501,55
SCB2502,47
SCB2606,44
SCB2718,39
SCB2720,30
SCB2804,12
SCB2814,49
SCB2816,37
SCB2818,28
SCB2920,5
SCB3100,85
SCB3204,32
SCB3205,70
SCB3206,35
SCB3309,43
SCB3310,70
SCB3311,22
SCB3402,4
SCB4201,32
SCB4202,60
SCB4405-4406,48
STB107,8
STB204,2
STB205,62
STB206,67
STB207,18
STB302,68
