001101 0
001102 1
001111 13
001113 3
001201 2
001202 1
001210 22
001212 8
001218 6
001230 5
001231 12
001250 19
001281-001 28
001281-002 33
001281-003 38
001281-004 25
001281-005 17
001281-701 35
001281-702 33
001291 21
001293-001 35
001293-002 35
001293-003 35
001293-801 17
001293-802 17
001310 11
001311 13
001312 13
001315 16
001318 3
001320-001 10
001321 9
001323 23
001330 19
001341-001 36
001342-001 36
001353 14
001354 8
001361-001 38
001362-001 36
001381-002 35
001381-003 36
001381-004 10
001381-005 15
001410-002 38
001423-001 35
001423-002 36
001425-001 36
001425-002 36
001443-001 28
001443-002 28
001444-001 35
001445 24
001447-001 33
001461-001 33
001464-001 17
002101-001 7
002101-002 7
002110-001 28
002110-002 28
002191-001 25
002192-001 25
002201-001 28
002201-002 28
002211-001 35
002211-002 35
002221-001 17
002221-002 17
002250-001 36
002301-001 33
002301-002 33
002333-001 17
002351-001 25
002361-001 28
002365-001 38
002372-001 28
002401-001 7
002401-002 7
002441-001 35
002473-001 10
003101-001 33
003191 4
003201-001 18
003313-001 35
003314-001 28
003320-001 25
003331-001 38
003367-001 10
003414-001 7
003421-001 35
003436-001 17
004241-001 10
004282-001 35
004301-001 25
004303-001 33
004324-001 15
004351-001 10
004432 16
004473-001 17
004475-001 15
004483-001 15
006103-001 7
006126-001 38
006206-001 36
006226-001 25
006241-001 35
006242-001 35
006253-001 33
006303-001 36
006307-001 33
006325-001 35
006326-001 36
006330-001 38
006331-001 35
006344-001 10
006346-001 38
006355-001 25
006425-001 10
006426-001 25
006428-001 36
006432-001 25
006433-001 10
006443-001 28
006448-001 25
006454-001 10
008214-001 10
008214-801 15
008303-001 28
008303-801 20
008303-802 17
008314-001 36
008326-001 10
008326-801 15
008411-001 38
008411-801 20
008417-001 33
008417-801 20
009103 21
009105-001 35
009212-001 38
009212-002 38
009230-001 25
009231-001 10
009231-002 10
009326-001 10
009328-001 36
009328-002 36
009425-001 25
009426-001 33
009431-001 36
009445-001 25
011100 4
011151-701 36
011151-702 10
011152-001 15
011153 3
011251 31
011257-001 33
011257-002 33
011257-003 33
011257-801 25
011259-001 33
011269-001 38
011269-701 25
011276-001 17
011353-001 20
011356-001 38
011358-001 18
011362-001 25
011363-001 10
011374-001 36
011461-001 33
011464-001 35
011479-001 36
011751-001 7
012100-001 36
012173-001 7
012200-002 41
012200-001 33
012200-002 25
012271-001 38
012272-001 36
012273-001 17
012371-001 15
012475-001 10
013103 5
013110 22
013203 12
013204 19
013206-001 20
013207-001 35
013207-002 7
013209-001 10
013217-001 17
013301 9
013302 27
013303-001 39
013304 23
013305-001 10
013305-002 18
013306 16
013307 14
013317-001 10
013321-001 25
013326-001 17
013329-001 36
013330-001 33
013335-001 38
013337-001 18
013338-001 10
013413-001 25
013420 23
013421-001 38
013422-001 33
013426-001 39
013427-001 15
013433-001 28
013435-001 15
014210-001 38
014211-001 35
014270-001 35
014310-001 35
014311-001 36
014322-001 15
014323-001 36
014323-002 20
014324-001 38
014325-001 25
014370-001 25
014371-001 10
014381-001 15
014382-001 17
014390-001 33
014401-001 36
014410-001 38
014421-001 10
014471-001 17
014481-001 10
014485-001 17
015101-001 28
015101-701 28
015102-001 38
016101-001 7
016101-701 7
016102-001 38
016102-701 38
016232-001 35
017101 31
017102-001 10
017102-701 10
017111-001 15
017111-701 15
017112-001 35
017112-701 35
017201-001 33
017210-001 20
017210-701 20
018103-001 35
018111 4
018113 14
018114-001 15
018125-001 33
018203-001 35
018211-001 10
018213-001 36
018231-001 38
018235-001 33
018271-001 36
018271-002 38
018301-001 33
018321-001 35
018335-001 25
018351-001 17
018353-001 36
018421-001 28
018433-001 38
018435-001 25
018435-002 25
018436-001 38
018438-001 15
018451-001 10
018465-001 36
018467-001 36
018471-001 17
019101 14
019102-001 33
019103 22
019105 26
019106 21
019108-001 33
019108-801 20
019111-001 10
019111-801 18
019203-001 33
019203-801 20
019205-001 7
019205-801 41
019206-001 10
019208-001 25
019208-801 17
019211 11
019221-001 38
019221-801 41
019303-001 10
019303-801 20
019311-001 15
019311-801 20
019331-001 25
019331-002 17
019331-801 17
019361-001 35
019361-801 18
019371-001 28
019373 23
019381-001 17
019381-801 18
019411-001 28
019411-801 17
019442-001 15
019442-801 20
019471-001 36
019471-801 41
019473-001 33
019473-801 20
020101 21
020102-001 18
020102-701 18
020211-001 28
020211-002 28
020212-001 20
020231 23
020232-001 18
020311-001 25
020321-001 35
020333-001 36
020341-001 15
020362-001 36
020363-001 7
020412-001 33
020421-001 7
020481-001 10
021101 3
021102-001 25
021203-001 10
021203-701 7
021204-001 18
021204-701 18
021270-001 20
021270-701 20
025108-701 15
025110-701 25
025310-701 10
025480-701 33
026101 32
026102 24
026111-001 17
026111-002 17
026112 14
026201-001 35
026271-001 25
029701-001 10
029703-001 25
029711-001 10
030101 5
050100 27
050103 8
050104 6
050106-001 39
050106-002 39
050106-003 39
050106-004 39
050106-005 39
050106-006 39
050106-007 39
050111 11
051300-001 10
051302-001 33
051304-001 33
051306-001 17
051310-001 18
051313-001 17
051313-002 18
051412-001 35
051418-001 25
051421-001 17
052201-001 25
052201-002 25
052202-001 10
052202-002 39
052202-003 40
052314-001 17
052314-002 18
052350-001 33
052350-002 38
052352-001 38
052357 34
052400-001 35
052417-001 39
052419-001 25
052420-001 35
052421-001 35
052441-001 36
052443-001 20
052445-001 17
052447-001 10
052466-001 15
052466-002 15
052725-801 17
053712-001 40
053712-801 20
053713-001 25
053713-801 18
053770-001 10
053770-801 20
054810-001 10
054870-001 25
055701-001 7
055701-002 10
055701-801 15
055701-802 15
055703-001 39
055703-801 17
055704-001 10
055704-801 17
055706-001 25
055706-801 18
055707-001 15
055707-801 20
055711-801 15
055713-001 7
055713-801 39
055733-001 40
055733-801 20
055734-001 7
055734-801 18
055757-001 28
055757-801 15
055771-001 10
055771-002 10
055771-801 15
055771-802 20
055771-803 20
055771-804 18
055797-001 18
055797-801 17
057121 34
057122-001 39
057122-002 7
057122-003 7
057122-004 28
057122-005 28
057122-701 39
057123-001 39
057125 31
057126 16
057127 31
057128 16
057129 37
057130 37
057131-001 35
057131-002 35
057131-003 35
057131-004 35
057132 5
057133 5
057134-001 40
057135-001 15
057135-002 10
057136 16
057137-001 33
057138-001 36
057138-002 36
057139 29
057140-001 28
057201-001 33
057205-001 20
057213-001 15
057215-001 39
057274-001 28
057279-001 15
057283-001 17
057284-001 20
057285 32
057288-001 7
057293-001 10
057293-002 7
057294-001 10
057296-001 33
057300-001 28
057302-001 15
057305 26
057316-001 35
057351-001 35
057351-002 41
057366-001 10
057403-001 7
057404-001 20
057405-001 35
057410-001 10
057411-001 17
057416-001 10
057420-001 25
057425-001 39
057426-001 25
057428 26
057450-001 10
059413-001 10
059413-002 7
059419-001 40
059419-002 40
061106-001 28
061201-001 28
061223-001 25
061224-001 10
061306-001 10
061306-002 40
061306-003 40
061307-001 10
061309-001 25
061312-001 10
061313-001 25
061317-001 7
061317-002 7
061401-001 7
061403-001 40
061403-801 15
061404-001 41
061407-001 39
061430-001 18
062200-001 15
062210-001 39
062320-001 25
062341-001 17
062342-001 17
062343-001 36
062344-001 36
062345-001 18
062346-001 10
062360-001 38
062380-001 17
062411-001 17
062452-001 20
062460-001 25
062470-001 40
062499-002 28
063201 24
063702-801 17
063703-801 17
063704-801 17
063710-801 15
063813-801 15
064201-001 10
064204-001 28
064206-001 18
064207-001 15
064231-001 10
064232-001 28
064251-001 10
064252-001 15
064271-001 39
064272-001 28
064273-001 35
064281-001 38
064291-001 7
064301-001 15
064303-001 25
064331-001 33
064392-001 33
064410 24
064412-001 39
064413-001 15
064415-001 41
064417-001 39
064417-002 15
064418 34
064419-001 17
064421-001 41
064422-001 17
064423-001 25
064424-001 39
064424-801 40
064430 21
064474-001 18
064490-001 35
065210-001 25
065212-001 28
065310 34
065320-001 33
065332 24
065421-001 28
065434-001 28
065435-002 28
065436-001 10
065437-001 10
065438-001 25
066221-001 10
066323-001 36
066410-001 35
066414-001 7
066416-001 28
066421-001 10
066425-001 7
066755-801 17
067202-001 39
067202-002 18
067303-001 25
067311-001 10
067372-001 17
067373-001 10
067432-001 18
069712-801 18
070100-001 33
070200-001 39
070201-001 40
070303-001 15
070304-001 36
070305-002 40
070308-001 33
070400-001 25
070401-001 38
070403-001 15
070404-001 33
070410-001 10
070411-001 25
070413-001 38
070413-002 38
070414-001 35
070415-001 28
070416-001 15
070711-801 15
070720-801 20
070721-801 18
070726-801 18
070727-801 15
070731-801 20
070740-801 17
070741-801 18
070792-801 15
071411-001 17
071412-001 10
071413-001 38
071414-001 25
071415-001 15
071416-001 15
071417-001 20
071418-001 18
071418-801 20
071419-001 36
071420-001 15
071422-001 33
071423-001 20
071425 32
071426-001 33
071712-001 15
071712-002 25
071712-801 18
071712-802 17
071712-803 17
071715-001 28
071715-801 15
071724-801 15
071724-802 20
071730-001 17
071730-801 17
071736-001 10
071736-801 17
071738-001 33
071738-801 15
071811-001 33
071811-801 18
073711-001 7
073711-002 7
073711-801 18
073711-802 18
073721-001 28
073721-801 17
073770-001 28
073770-801 20
074100 21
074101 19
074406-001 39
074414-001 39
076312-001 10
076314-001 35
076414-001 36
076425-001 36
076426-001 10
076427-001 17
076428-001 10
076429-001 15
076430-001 39
076444-001 40
076466-001 39
077422-001 39
078444 27
078454-001 36
079169-001 15
079220-001 20
079264-001 25
088708-801 15
091700-001 39
091700-801 15
091700-802 15
091800-001 35
091800-801 17
091800-802 17
099100-001 35
099101-001 17
099102-001 41
099102-002 41
100102-001 38
100102-002 39
100103-001 28
100104-001 18
100104-002 38
100104-003 38
100105-001 7
100105-002 25
100105-003 17
100105-004 33
100105-005 35
100105-006 17
100106-001 7
100106-002 36
100106-003 33
100106-004 38
100106-005 25
100106-006 10
100107-001 10
100107-002 10
100107-003 10
100107-004 10
100107-005 10
100107-006 10
100108-001 10
100108-002 10
100108-003 10
100108-004 10
100108-005 10
100108-006 10
100109 16
100110 19
100111 23
100112 26
100205-001 10
100205-002 10
100205-003 15
100205-004 38
100205-005 33
100205-006 38
100206-001 10
100206-002 10
100206-003 15
100206-004 15
100206-005 15
100207-001 17
100207-002 36
100207-003 36
100207-004 10
100207-005 15
100207-006 25
100207-007 17
100208-002 35
100208-003 35
100208-004 35
100208-005 35
100208-006 15
100208-066 25
100209-001 7
100209-002 35
100209-003 36
100209-004 28
100209-005 33
100209-006 38
100210-002 36
100210-003 35
100210-004 36
100210-005 38
100210-006 25
100211-001 33
100211-002 33
100211-003 33
100211-004 38
100211-005 38
100211-006 38
100211-007 40
100212-001 10
100212-002 10
100212-003 10
100212-004 15
100212-005 15
100212-006 15
100212-007 15
100213-001 18
100213-002 25
100213-003 10
100213-004 10
100213-005 36
100213-006 36
100214 13
100218-001 36
100219-001 35
100219-002 35
100220-001 39
100220-002 28
100222 21
100225-001 38
100226-001 33
100228 11
100229 9
100230 14
100231 30
100233-001 20
100281-004 39
100302-001 10
100306 12
100307-001 35
100307-002 18
100307-003 35
100307-004 10
100307-005 15
100307-006 25
100308 30
100309-001 38
100309-002 15
100309-003 38
100309-004 33
100309-005 33
100309-006 20
100310-001 35
100310-002 10
100310-003 15
100310-004 33
100310-005 25
100310-006 17
100311 24
100312 29
100313 6
100314 19
100500-002 20
100500-003 20
100501 34
101100-001 35
101105-001 17
101201 8
101205-001 35
101211-001 39
101400-001 39
101400-002 7
101405 24
103112-001 17
103191-001 10
103271 37
104200-001 15
104201-001 33
104300-001 25
104301-001 38
104325-001 10
104340-001 39
104410-001 35
104424-001 20
104495-001 17
104495-002 17
105304-001 35
109100 12
109115-001 33
112101-002 10
112102-001 25
112102-002 28
112103-001 10
112103-002 25
112105-002 10
112108-001 10
112110-001 7
112201-001 25
112203-001 40
112213-001 39
112300-001 40
112314-001 10
112411-001 39
112412-001 7
115200-001 39
115300-001 28
115301-001 39
115302-001 40
116301-001 25
116302-001 40
116400-001 39
126101 31
126216-001 17
126216-002 17
126216-003 17
126216-004 17
126321-001 10
126326-001 10
126326-002 28
126330-001 39
126330-002 39
126330-003 39
126330-004 39
126333-001 25
126334-001 33
126428-001 36
126432-001 35
126443-001 38
127100-001 15
127100-801 18
127101 14
127203-001 35
127204-001 10
127206-001 7
127207-001 25
127207-002 25
127303-001 25
127312 24
127314-001 15
127315-001 35
127316-001 10
127320-001 38
127326-001 17
127329-001 28
127337-001 38
127413-001 33
127711-001 25
127711-801 15
127717-001 28
127717-801 17
127718-001 7
127718-801 18
127719-001 40
127719-801 20
127727-001 25
127727-801 17
127728-801 15
128100-001 7
128100-002 17
128100-701 25
128101 26
128202-001 35
128202-002 35
128203-001 7
128203-002 7
128204-001 38
128204-002 38
128307 22
128309 37
128334-001 36
128352-001 36
128354-001 38
128355-001 17
128403-001 33
128403-002 33
128701-001 10
128701-801 18
128710-001 25
128710-801 17
128730-001 7
