001101 1
001102 0
001111 13
001113 3
001201 2
001202 0
001210 22
001212 8
001218 6
001230 5
001231 12
001250 19
001281-001 28
001281-002 33
001281-003 38
001281-004 25
001281-005 17
001281-701 35
001281-702 33
001291 21
001293-001 35
001293-002 35
001293-003 35
001293-801 17
001293-802 17
001310 11
001311 13
001312 13
001318 3
001320-001 10
001321 9
001323 23
001330 19
001341-001 36
001342-001 36
001353 14
001354 8
001361-001 38
001362 4
001381 16
001410-002 38
001423-001 35
001423-002 36
001425-001 36
001425-002 36
001443-001 28
001444-001 35
001445 24
001447-001 33
001461-001 33
001464-001 17
002101-001 7
002101-002 7
002110-001 28
002110-002 28
002191-001 25
002192-001 25
002201-001 28
002201-002 28
002211-001 35
002211-002 35
002221-001 17
002221-002 17
002250-001 36
002301-001 33
002301-002 33
002333-001 17
002351-001 25
002361-001 28
002365-001 38
002401-001 7
002401-002 7
002441-001 35
002473-001 10
003101-001 33
003191 4
003201-001 33
003313-001 35
003320-001 18
003331-001 28
003367-001 36
003414-001 7
003421-001 35
003436-001 17
004241-001 10
004282-001 35
004301-001 7
004303-001 33
004324-001 17
004432-001 36
004473-001 17
004475-001 38
004483-001 15
006103-001 7
006126-001 38
006206-001 36
006226-001 25
006241-001 35
006242-001 35
006253-001 33
006303-001 36
006325-001 36
006326-001 33
006330-001 17
006331-001 38
006344-001 10
006346-001 38
006355-001 25
006425-001 10
006426-001 25
006428-001 36
006433-001 10
006443-001 28
006448-001 25
006454 16
008214-001 10
008214-801 15
008303-001 28
008303-801 20
008314-001 36
008411-001 38
008411-801 20
008417-001 33
009103 21
009105-001 35
009212-001 38
009212-002 38
009230-001 25
009231-001 10
009231-002 10
009326-001 35
009328-001 36
009328-002 36
009425-001 38
009426-001 33
009431-001 36
009445-001 25
011100 4
011151-701 36
011152-001 17
011153 3
011251 31
011257 16
011259-001 33
011269-001 38
011269-701 25
011276-001 17
011353-001 33
011356-001 38
011358-001 17
011362-001 25
011363-001 10
011374-001 36
011461-001 33
011464-001 35
011479-001 36
012100-001 36
012173-001 7
012200-001 33
012273-001 17
012371-001 15
012475-001 15
013103 5
013110 22
013203 12
013204-001 38
013206-001 15
013207-001 35
013207-002 36
013209-001 10
013301 9
013302 27
013303-001 39
013305 19
013306 16
013307 14
013317-001 10
013321-001 25
013326-001 17
013329-001 36
013330-001 33
013335-001 38
013337-001 18
013413-001 25
013420 23
013421-001 18
013426-001 39
013427-001 15
013433-001 28
013435-001 15
014210-001 38
014211-001 35
014270-001 35
014310-001 35
014311-001 36
014322-001 15
014323-001 36
014324-001 38
014370-001 25
014371-001 10
014381-001 15
014382-001 7
014401-001 36
014471-001 17
014481-001 10
014485-001 38
015101-001 28
015101-701 28
016101-001 7
016101-701 7
016102-001 38
016102-701 38
017101-001 36
017101-701 36
017102-001 10
017102-701 10
017111-001 15
017111-701 18
017112-001 35
017112-701 35
017201-001 33
017210-001 20
017210-701 20
018103-001 35
018111 4
018113 14
018114-001 15
018125-001 33
018203-001 35
018211-001 10
018213-001 36
018231-001 38
018235-001 33
018271-001 36
018271-002 38
018301-001 33
018321-001 35
018335-001 25
018351-001 17
018353-001 36
018421-001 28
018433-001 38
018435-001 25
018435-002 25
018438-001 15
018451-001 10
018467-001 36
018471-001 17
019101 14
019102-001 33
019103-001 35
019103-801 18
019105 26
019106 21
019108-001 33
019108-801 15
019111-001 10
019111-801 17
019203-001 33
019203-801 20
019205-001 7
019206-001 10
019208-001 35
019208-801 17
019211-001 36
019211-801 41
019221-001 38
019221-801 17
019303-001 10
019303-801 20
019311-001 15
019311-801 18
019331-001 33
019331-002 17
019331-801 17
019361-001 28
019361-801 17
019371-001 28
019373-001 35
019381-001 17
019381-801 18
019411-001 28
019442-001 15
019471-001 36
019473-001 33
020101 21
020102-001 40
020102-701 18
020211-001 28
020211-002 28
020212-001 20
020231-001 20
020231-002 18
020231-701 18
020232-001 18
020311-001 25
020321-001 35
020333-001 36
020341-001 15
020362-001 36
020363-001 7
021101 3
021102-001 25
021203-001 10
021203-701 7
021204-001 15
021270-001 18
021270-701 28
025108-701 35
025110-701 25
025310-701 10
025480 3
026101 32
026102 24
026111 23
026112-001 33
026201-001 35
026271-001 25
029701-001 25
029711-001 10
050100 27
050103 8
050104-001 17
050106-001 39
050106-002 39
050106-003 39
050106-004 39
050106-005 39
050106-006 39
050111 11
051300-001 10
051302-001 33
051304-001 36
051306-001 15
051310-001 10
051313-001 25
051313-002 18
051412-001 20
051418-001 25
051421-001 17
052201-001 25
052202-001 39
052202-002 39
052202-003 40
052314-001 17
052314-002 18
052350-001 33
052350-002 38
052352-001 38
052357-001 10
052400-001 35
052419-001 25
052421-001 7
052441-001 17
052443-001 20
052445-001 17
052447-001 36
052725-801 17
055701-001 39
055701-002 10
055701-801 15
055701-802 15
055704-801 17
055706-001 10
055706-801 18
055707-001 25
055707-801 17
055771-801 18
055771-802 18
055797-001 25
055797-801 17
057121 34
057122 31
057123-001 17
057125 31
057126 16
057127 31
057128 16
057129 37
057130 37
057131 5
057132 5
057133 5
057134-001 25
057135 16
057136 16
057137-001 33
057138-001 35
057138-002 36
057139-001 35
057140-001 7
057201-001 10
057205-001 41
057213-001 15
057215-001 39
057274-001 18
057279-001 15
057283-001 17
057284-001 20
057285-001 39
057288-001 7
057293-001 36
057293-002 7
057294-001 39
057296-001 15
057300-001 28
057302-001 15
057305 26
057351-001 40
057366-001 10
057403-001 28
057404-001 10
057405-001 33
057410-001 20
057411-001 38
057416-001 10
057420-001 25
057425-001 39
057426-001 25
057428 26
057450-001 10
059413 34
059419 12
061106-001 28
061201-001 28
061223-001 25
061306 26
061307-001 39
061309-001 25
061312-001 10
061313-001 25
061317 6
061401-001 7
