data/sched-exam-table-36/graph-coloring-solution-61-1-deg-bfs.txt
,0,3,822,1009,1090,553,6578,10055
,0,30000,64116,78702,41420,16037,78936,309211
data/sched-exam-table-36/graph-coloring-solution-61-1-deg.txt
,0,0,997,202,548,136,8029,9912
,0,0,77766,15756,20824,3944,96348,214638
data/sched-exam-table-36/graph-coloring-solution-61-1-std-bfs.txt
,1,0,1473,353,319,202,6423,8771
,2,0,114894,27534,12122,5858,77076,237486
data/sched-exam-table-36/graph-coloring-solution-61-1-std.txt
,0,0,808,348,349,180,6988,8673
,0,0,63024,27144,13262,5220,83856,192506
data/sched-exam-table-36/graph-coloring-solution-61-2-deg-bfs.txt
,1,1,2510,1165,979,1063,7736,13455
,2,10000,195780,90870,37202,30827,92832,457513
data/sched-exam-table-36/graph-coloring-solution-61-2-deg.txt
,1,0,1823,708,554,555,7449,11090
,1103.0,0,142194,55224,21052,16095,89388,325056.0
data/sched-exam-table-36/graph-coloring-solution-61-2-std-bfs.txt
,1,1,2240,862,745,422,6407,10678
,2,10000,174720,67236,28310,12238,76884,369390
data/sched-exam-table-36/graph-coloring-solution-61-2-std.txt
,0,1,1585,821,619,451,5957,9434
,0,10000,123630,64038,23522,13079,71484,305753
data/sched-exam-table-36/graph-coloring-solution-62-1-deg-bfs.txt
,2,5,3393,779,798,996,11979,17952
,17690.0,50000,264654,60762,30324,28884,143748,596062.0
data/sched-exam-table-36/graph-coloring-solution-62-1-deg.txt
,2,0,2817,545,979,364,10000,14707
,7829.0,0,219726,42510,37202,10556,120000,437823.0
data/sched-exam-table-36/graph-coloring-solution-62-1-std-bfs.txt
,1,0,2618,1043,534,477,10681,15354
,2,0,204204,81354,20292,13833,128172,447857
data/sched-exam-table-36/graph-coloring-solution-62-1-std.txt
,2,0,1557,896,819,401,10745,14420
,1399.0,0,121446,69888,31122,11629,128940,364424.0
data/sched-exam-table-36/graph-coloring-solution-62-2-deg-bfs.txt
,1,42,2584,1856,1796,1924,10106,18309
,2445.0,420000,201552,144768,68248,55796,121272,1014081.0
data/sched-exam-table-36/graph-coloring-solution-62-2-deg.txt
,2,0,2810,814,953,648,11006,16233
,3110.0,0,219180,63492,36214,18792,132072,472860.0
data/sched-exam-table-36/graph-coloring-solution-62-2-std-bfs.txt
,1,4,3682,1447,717,595,9760,16206
,1011393.0,40000,287196,112866,27246,17255,117120,1613076.0
data/sched-exam-table-36/graph-coloring-solution-62-2-std.txt
,1,5,2850,969,731,523,9420,14499
,649.0,50000,222300,75582,27778,15167,113040,504516.0
data/sched-exam-table-36/graph-coloring-solution-63-1-deg-bfs.txt
,2,0,3931,1772,1828,1831,15541,24905
,24759.0,0,306618,138216,69464,53099,186492,778648.0
data/sched-exam-table-36/graph-coloring-solution-63-1-deg.txt
,1,0,4224,1646,1444,1817,15491,24623
,18726.0,0,329472,128388,54872,52693,185892,770043.0
data/sched-exam-table-36/graph-coloring-solution-63-1-std-bfs.txt
,3,2,3204,1342,953,843,13295,19642
,25398.0,20000,249912,104676,36214,24447,159540,620187.0
data/sched-exam-table-36/graph-coloring-solution-63-1-std.txt
,2,8,3254,1965,1032,854,15233,22348
,8152.0,80000,253812,153270,39216,24766,182796,742012.0
data/sched-exam-table-36/graph-coloring-solution-63-2-deg-bfs.txt
,1,0,4051,1706,1747,1434,17147,26086
,4,0,315978,133068,66386,41586,205764,762786
data/sched-exam-table-36/graph-coloring-solution-63-2-deg.txt
,2,0,3449,1624,1454,913,15549,22991
,758.0,0,269022,126672,55252,26477,186588,664769.0
data/sched-exam-table-36/graph-coloring-solution-63-2-std-bfs.txt
,1,2,4113,2617,981,1018,16764,25496
,674.0,20000,320814,204126,37278,29522,201168,813582.0
data/sched-exam-table-36/graph-coloring-solution-63-2-std.txt
,2,2,3235,1543,883,707,14640,21012
,1038.0,20000,252330,120354,33554,20503,175680,623459.0
